school,list1,list2,list3,list4
Ditau Primary School,,,1,
Edenpark Primary School,1,1,,
Eldorado Park Primary School,1,1,,
Everest Primary School (phase one),,,1,1
EW Hobbs Primary School,1,1,1,1
Faresani  Primary School,1,1,1,1
Fred Magardie Primary School,,,1,
Kliptown Primary School,1,1,1,1
Kwena Molapo Comprehensive Farm School,1,1,1,1
Laerskool Broederstroom,1,1,1,
Laerskool Hennopsrivier,1,1,1,1
Leihlo Primary School,1,1,1,1
Lukholweni Primary School,,,1,
Mdelwa Hlongwane Primary School,1,1,1,1
Nancefield Primary School,1,1,1,1
Newclare Primary School,1,1,1,1
Noordgesig Primary School,1,1,1,1
Onverwacht Primary School,1,1,1,
Paradise Bend Primary School,,,1,
Parktown Public School,1,1,1,1
Pretoria Primary School,1,1,1,1
Randfontein Secondary School,,,1,
Reiger Park Primary School,1,,1,
Riverlea Primary School,1,1,1,1
Riverlea Secondary School,,,1,
Rust-Ter-Vaal Secondary School,,1,1,1
TC Esterhuysen Primary School,,,1,
Toekomsrus Primary School,,,1,
Tshwane Secondary School,1,1,1,1
Wilhelmina Hoskins Primary School,1,1,1,1
Wisani Primary School,,,1,
Moses Kotane Primary School,,,,1
Laerskool Die Ruiter,,,,1
Masakhane/Zandspruit Secondary School,,,,1
